question_number,Null,question_text,Option1,Option2,Option3,Option4,Ans Key,Solution
1,Null,$\text { I : }(p \Rightarrow q) \vee(q \Rightarrow p) \text { and II : }(\sim p) \Rightarrow(p \Rightarrow q)$,(a) $\mathrm{I}$  is tautology and $\mathrm{II}$  is fallacy,(b) $\mathrm{I}$  is fallacy and $\mathrm{II}$  is tautology,(c) $\mathrm{I}$  and $\mathrm{II}$  both are tautologies,(d) $\mathrm{I}$  and $\mathrm{II}$  both are fallacies,(c),\begin{tabular}{c|c|c|c|c|c|c}
2,Null,Statement $\mathrm{I}$: $x^{2}+y^{2}=12$ and $y^{2}=4 x$ meet at $P$ and $Q$,"(a) Statement$\mathrm{-I}$ is True, Statement$\mathrm{-II}$ is True and Statement$\mathrm{-II}$ is a correct explanation for Statement$\mathrm{-I}$.","(b) Statement$\mathrm{-I}$ is True, Statement$\mathrm{-II}$ is True and Statement$\mathrm{-II}$ is NOT a correct explanation for Statement$\mathrm{-I}$.","(c) Statement$\mathrm{-I}$ is True, Statement$\mathrm{-II}$ is False.","(d) Statement$\mathrm{-I}$ is False, Statement$\mathrm{-II}$ is True.",(a),Statement-$\mathrm{II}$ is true.
3,Null,"Two fixed points are $A(a, 0)$ and $B(-a, 0)$",(a) $x^{2}+y^{2}+2 x y \tan \theta=a^{2}$,(b) $x^{2}-y^{2}+2 x y \tan \theta=a^{2}$,(c) $x^{2}+y^{2}+2 x y \cot \theta=a^{2}$,(d) $x^{2}-y^{2}+2 x y \cot \theta=a^{2}$,(d),Given $\angle A-\angle B=\theta \Rightarrow \tan (A-B)=\tan \theta$
4,Null,"The sum of $80$ terms of the series $11,102,1003, \ldots \ldots$ is:",(a) $\frac{1}{81}\left[10^{80}+20\right]$,(b) $\frac{1}{9}\left[2^{80}+29150\right]$,(c) $\frac{1}{9}\left[10^{81}+999\right]$,(d) $\frac{1}{9}\left[10^{81}+29150\right]$,(d),$11+102+1003+\ldots \ldots 80$ terms
5,Null,The area above the $x$-axis enclosed by the curves $x^{2}-y^{2}=0$ and $x^{2}+y-2=0$ is,(a) $\frac{5}{3}$,(b) $\frac{7}{3}$,(c) $\frac{8}{3}$,(d) $\frac{10}{3}$,(b),![original image](https://cdn.mathpix.com/snip/images/RAJs7mLIOE0dB9jVKz5jfrKRu_GQhYWjI1PT6F0AJH0.original.fullsize.png)
6,Null,"If a circles $x^{2}+y^{2}=a^{2}$ and the rectangular hyperbola $x y=c^{2}$ intersect in four points, $\left(c t_{r}, \frac{c}{t_{r}}\right), r=1,2,3,4$ then $t_{1} t_{2} t_{3} t_{4}$ is equal to",(a) $-1$,(b) 1,(c) $c^{4}$,(d) $-c^{4}$,(b),"Parametric equation of the hyperbola $x y=c^{2}$ is $(c t, c / t)$ and equation of circle is $x^{2}+y^{2}=a^{2} \ldots(i)$ "
7,Null,The value of $a$ in order that $f(x)=\sin x-\cos x-a x+b$ decreases for all real values is given by,(a) $a \geq \sqrt{2}$,(b) $a<\sqrt{2}$,(c) $a \geq 1$,(d) $a<1$,(a),We have; $\mathrm{f}(\mathrm{x})=\sin \mathrm{x}-\cos \mathrm{x}-\mathrm{ax}+\mathrm{b}$
8,Null,"The centre of circle touching $Y$-axis at $(0,3)$ and making an intercept of $2$ units on positive $X$-axis is:","(a) $(10, \sqrt{3})$","(b) $(\sqrt{3}, 10)$","(c) $(\sqrt{10}, 3)$","(d) $(3, \sqrt{10})$",(c),From figure:
9,Null,The value of the integral $\int_{0}^{\pi} \frac{x}{1+\cos ^{2} x} d x$ is,(a) $\frac{\pi^{2}}{\sqrt{2}}$,(b) $\frac{\pi^{2}}{2 \sqrt{2}}$,(c) $2 \sqrt{2} \pi$,(d) $\frac{\pi}{2 \sqrt{2}}$,(b),$I=\int_{0}^{\pi} \frac{x}{1+\cos ^{2} x} d x=\int_{0}^{\pi} \frac{\pi-x}{1+\cos ^{2}(\pi-x)} d x$
10,Null,$\lim _{n \rightarrow \infty} \frac{1}{n^{3}}\left[1^{2} \sin \frac{1}{n}+2^{2} \sin \frac{2}{n}+3^{2} \sin \frac{3}{n}+\ldots+n^{2} \sin \frac{n}{n}\right]$ equals,(a) $\cos 1+2 \sin 1$,(b) $2 \sin 1-2$,(c) $\cos 1-2 \sin 1-2$,(d) $\cos 1+2 \sin 1-2$,(d),$\lim _{n \rightarrow \infty} \frac{1}{n} \sum \frac{r^{2}}{n^{2}} \sin \frac{r}{n}=\int_{0}^{1} x^{2} \sin x d x$
11,Null,"India plays a series of $5$ cricket matches against Australia with $\frac{1}{2}, \frac{1}{3}$ and $\frac{1}{6}$ chances of winning, loosing and drawing each match",(a) $\frac{7}{3\left(2^{6}\right)}$,(b) $\frac{11}{3\left(2^{6}\right)}$,(c) $\frac{1}{12}$,(d) $\frac{10}{3\left(2^{6}\right)}$,(c),Winning the series with margin of $4$ wins or more can be done when series finishes with a scoreline of $4-0$ or $5-0$ in favour of India.
12,Null,The lines $\vec{r}=(2 \hat{i}+3 \hat{j}+4 \hat{k})+\lambda(3 \hat{i}+\alpha \hat{j}+4 \hat{k})$ and $\vec{r}=(3 \hat{i}+4 \hat{j}+5 \hat{k})+\mu(\hat{i}+\beta \hat{j}+\hat{k})$ are coplanar then :,"(a) $\alpha=2, \beta=2$","(b) $\alpha \in R, \beta=0$","(c) $\alpha \in R, \beta=1$","(d) $\alpha=1, \beta=3$",(c),Clearly the given lines are neither coincident nor parallel
13,Null,The value of expression $\sum_{r=1}^{n} \tan ^{-1}\left(\frac{2 r}{r^{4}+r^{2}+2}\right)$ is:,(a) $\frac{\pi}{4}$,(b) $\frac{\pi}{2}$,(c) $\tan ^{-1}\left(\frac{n^{2}+n}{n^{2}+n+1}\right)$,(d) $\tan ^{-1}\left(\frac{n^{2}+n}{n^{2}+n+2}\right)$,(d),$\sum_{r=1}^{n} \tan ^{-1}\left(\frac{\left(r^{2}+r+1\right)-\left(r^{2}-r+1\right)}{1+\left(r^{2}+r+1\right)\left(r^{2}-r+1\right)}\right)$
14,Null,"$f(x)=x^{2}+\int_{0}^{x} e^{-t} f(x-t) d t$, the angle between tangent to curve $y=f(x)$ at $x=-1$ and $+X$-axis is:",(a) $\frac{\pi}{4}$,(b) $\frac{3 \pi}{4}$,(c) $\frac{\pi}{3}$,(d) $\frac{2 \pi}{3}$,(b),$f(x)=x^{2}+\int_{0}^{x} e^{-(x-t)} f(x-(x-t)) d t \quad \Rightarrow f(x)=x^{2}+e^{-x} \int_{0}^{x} e^{t} f(t) d t$
15,Null,If $x^{2}-2 x \cos \theta+1=0$ then the value of $\arg \left(\frac{1+x}{1-x}\right)$ is:,(a) $\frac{\pi}{2}$ or $\frac{3 \pi}{2}$,(b) $\frac{\pi}{2}-\theta$ or $\frac{3 \pi}{2}+\theta$,(c) $\frac{\pi}{4}$ or $\frac{5 \pi}{4}$,(d) $0$ or $\pi$,(a),$x^{2}-2 x \cos \theta+1=0$
16,Null,Differential coefficient of $\tan ^{-1} \frac{2 x}{1-x^{2}}$ with respect to $\sin ^{-1} \frac{2 x}{1+x^{2}}$ will be,(a) $1$,(b) $-1$,(c) $-1 / 2$,(d) $x$,(a),Let $u=\tan ^{-1} \frac{2 x}{1-x^{2}} \quad \ldots \ldots$ (i)
17,Null,$F_{n}(x)=\int(\log x)^{n} d x$ and $G_{n}(x)=F_{n}(x)+n F_{n-1}(x)$ the $G_{n}(x)$ is equal to : ($K$ is any real arbitrary constant),(a) $(\log x)^{n}+K$,(b) $x \frac{(\log x)^{n+1}}{n+1}+K$,(c) $n(\log x)^{n+1}+K$,(d) None of these,(d),$F_{n}(x)=\int(\log x)^{n} d x$
18,Null,"The value of $\lim _{x \rightarrow 0^{+}} x^{m}(\log x)^{n}, m, n \in N$ is",(a) $0$,(b) $\frac{\mathrm{m}}{\mathrm{n}}$,(c) $\mathrm{mn}$,(d) None of these,(a),"$\lim _{x \rightarrow 0^{+}} x^{m}(\log x)^{n}=\lim _{x \rightarrow 0^{+}} \frac{(\log x)^{n}}{x^{-m}},\left(\frac{\infty}{\infty}\right.$ Form $)$"
19,Null,"Exactly one root of cubic expression $x^{3}-12 x+5$ lie in :$\mathrm{I.}$ $(-\infty,-2)$$\mathrm{II.}$ $(-2,2)$$\mathrm{III.}$ $(2, \infty)$",(a) Both $\mathrm{I}$ and $\mathrm{II}$ but not $\mathrm{III}$,(b) Both $\mathrm{I}$ and $\mathrm{III}$ but not $\mathrm{II}$,(c) Both $\mathrm{II}$ and $\mathrm{III}$ but not $\mathrm{I}$,"(d) All $\mathrm{I}$, $\mathrm{II}$ and $\mathrm{III}$",(d),Let $f(x)=x^{3}-12 x+5$
20,Null,"In a $\Delta A B C, A D$ bisects angle $A$ and $D$ lies on $B C$",(a) $\frac{3}{8} \sqrt{30}$,(b) $\frac{5}{8} \sqrt{30}$,(c) $\frac{1}{8} \sqrt{30}$,(d) $\frac{\sqrt{30}}{4}$,(b),$|\overrightarrow{A B}|=3$ and $|\overrightarrow{A C}|=5$
21,Null,An ellipse in the first quadrant is tangent to co-ordinate axes,null,null,null,null,(7),We have $q_{1} q_{2}=3 d=b^{2}$
22,Null,$A$ and $B$ are two sets comprising of $5$ and $2$ elements each,null,null,null,null,(2520),Number of elements in $A \times B=10$
23,Null,"For all complex numbers $z_{1}, z_{2}$ satisfying $\left|z_{1}\right|=12$ and $\left|z_{2}-3-4 i\right|=5$, the minimum value of $\left|z_{1}-z_{2}\right|$ is",null,null,null,null,(2),"We know that, $\left|z_{1}-z_{2}\right| \geq|| z_{1}|-| z_{2}|\ldots(i)$"
24,Null,$\sin ^{2} 12^{\circ}+\sin ^{2} 21^{\circ}+\sin ^{2} 39^{\circ}+\sin ^{2} 48^{\circ}-\sin ^{2} 9^{\circ}-\sin ^{2} 18^{\circ}$ is equal to,null,null,null,null,(1),we can write the given expression as
25,Null,The value of $\operatorname{Lim}_{n \rightarrow \infty}\left(\sum_{r=1}^{n}\left(\frac{2 r+5}{r^{2}+r}\right)\left(\frac{3}{5}\right)^{r+1}\right)$ is equal to,null,null,null,null,(1.8),$\mathrm{T}_{\mathrm{r}}=\frac{5(\mathrm{r}+1)-3 \mathrm{r}}{\mathrm{r}(\mathrm{r}+1)} \cdot\left(\frac{3}{5}\right)^{\mathrm{r}+1}$
26,Null,"Find the greatest angle of a triangle whose sides are $a, b, \sqrt{a^{2}+b^{2}+a b}$",null,null,null,null,(120),As the greater side of a triangle has greater angle opposite to it.
27,Null,"If function $\mathrm{y}=f(\mathrm{x})$ satisfy the differential equation $\left(x^{3}+1\right) d y=x(1-3 x y) d x$ and $f(0)=0$, then $\lim _{x \rightarrow 0} \frac{x^{2}}{f(x)}$ is equal to",null,null,null,null,(2),$\left(x^{3}+1\right) d y+3 x^{2} y d x=x d x$
28,Null,Two roads $O A$ and $O B$ intersect at an angle of $60^{\circ}$,null,null,null,null,(256),Let the distance between two cars after $t$ seconds be $\mathrm{s}$
29,Null,"Let $T$ and $D$ be number of triangles and diagonals formed by joining vertices of $n$-sided regular polygon respectively such that $T=D+5$, then the value of $n$ is:",null,null,null,null,(5),$T={ }^{n} C_{3}$ $\&$ $D=\frac{n(n-3)}{2}$
30,Null,$A$ and $B$ are coefficients of terms independent of $x$ in the expansions $\left(x^{2}+\frac{1}{\sqrt{x}}\right)^{10}$ and $\left(\sqrt{x}+\frac{1}{x^{2}}\right)^{10}$,null,null,null,null,(1),For $\left(x^{2}+\frac{1}{\sqrt{x}}\right)^{10} ; T_{r+1}={ }^{10} C_{r}\left(x^{2}\right)^{10-r}\left(\frac{1}{\sqrt{x}}\right)^{r}={ }^{10} C_{r} x^{\frac{40-5 r}{2}}$
